workload,impl,threads,size,run_i,elapsed_ms
sum,serial,1,80000000,1,321
sum,serial,1,80000000,2,328
sum,serial,1,80000000,3,341
sum,serial,1,80000000,4,346
sum,serial,1,80000000,5,331
sum,serial,1,80000000,6,321
sum,serial,1,80000000,7,286
sum,serial,1,80000000,8,305
sum,serial,1,80000000,9,345
sum,serial,1,80000000,10,329
sum,serial,1,80000000,11,266
sum,serial,1,80000000,12,337
sum,serial,1,80000000,13,305
sum,OMP,1,80000000,1,336
sum,OMP,1,80000000,2,296
sum,OMP,1,80000000,3,328
sum,OMP,1,80000000,4,313
sum,OMP,1,80000000,5,386
sum,OMP,1,80000000,6,316
sum,OMP,1,80000000,7,344
sum,OMP,1,80000000,8,324
sum,OMP,1,80000000,9,363
sum,OMP,1,80000000,10,312
sum,OMP,1,80000000,11,375
sum,OMP,1,80000000,12,333
sum,OMP,1,80000000,13,298
sum,OMP,2,80000000,1,163
sum,OMP,2,80000000,2,159
sum,OMP,2,80000000,3,168
sum,OMP,2,80000000,4,145
sum,OMP,2,80000000,5,182
sum,OMP,2,80000000,6,147
sum,OMP,2,80000000,7,195
sum,OMP,2,80000000,8,144
sum,OMP,2,80000000,9,172
sum,OMP,2,80000000,10,162
sum,OMP,2,80000000,11,157
sum,OMP,2,80000000,12,166
sum,OMP,2,80000000,13,163
sum,OMP,4,80000000,1,72
sum,OMP,4,80000000,2,90
sum,OMP,4,80000000,3,73
sum,OMP,4,80000000,4,72
sum,OMP,4,80000000,5,71
sum,OMP,4,80000000,6,70
sum,OMP,4,80000000,7,73
sum,OMP,4,80000000,8,68
sum,OMP,4,80000000,9,73
sum,OMP,4,80000000,10,70
sum,OMP,4,80000000,11,72
sum,OMP,4,80000000,12,67
sum,OMP,4,80000000,13,74
sum,OMP,8,80000000,1,62
sum,OMP,8,80000000,2,49
sum,OMP,8,80000000,3,44
sum,OMP,8,80000000,4,52
sum,OMP,8,80000000,5,46
sum,OMP,8,80000000,6,46
sum,OMP,8,80000000,7,47
sum,OMP,8,80000000,8,51
sum,OMP,8,80000000,9,50
sum,OMP,8,80000000,10,47
sum,OMP,8,80000000,11,46
sum,OMP,8,80000000,12,47
sum,OMP,8,80000000,13,48
sum,OMP,16,80000000,1,56
sum,OMP,16,80000000,2,46
sum,OMP,16,80000000,3,34
sum,OMP,16,80000000,4,36
sum,OMP,16,80000000,5,32
sum,OMP,16,80000000,6,35
sum,OMP,16,80000000,7,30
sum,OMP,16,80000000,8,39
sum,OMP,16,80000000,9,36
sum,OMP,16,80000000,10,33
sum,OMP,16,80000000,11,35
sum,OMP,16,80000000,12,35
sum,OMP,16,80000000,13,36
sum,threads,1,80000000,1,291
sum,threads,1,80000000,2,289
sum,threads,1,80000000,3,293
sum,threads,1,80000000,4,285
sum,threads,1,80000000,5,301
sum,threads,1,80000000,6,288
sum,threads,1,80000000,7,284
sum,threads,1,80000000,8,267
sum,threads,1,80000000,9,268
sum,threads,1,80000000,10,295
sum,threads,1,80000000,11,267
sum,threads,1,80000000,12,281
sum,threads,1,80000000,13,284
sum,threads,2,80000000,1,136
sum,threads,2,80000000,2,145
sum,threads,2,80000000,3,170
sum,threads,2,80000000,4,131
sum,threads,2,80000000,5,141
sum,threads,2,80000000,6,156
sum,threads,2,80000000,7,137
sum,threads,2,80000000,8,148
sum,threads,2,80000000,9,150
