Threads,Tasks,Workload,Serial,Parallel,Spinning,Sleeping
16,5000,200,0.0170,0.0070,0.0074,0.0082
16,10000,200,0.0336,0.0120,0.0120,0.0101
16,20000,200,0.0659,0.0210,0.0355,0.0168
16,100000,200,0.2808,0.0785,0.0662,0.0669
16,5000,500,0.0399,0.0123,0.0351,0.0115
16,10000,500,0.0793,0.0273,0.0318,0.0227
16,20000,500,0.1625,0.0444,0.0373,0.0389
16,100000,500,0.6876,0.1695,0.1623,0.1539
16,5000,100,0.0103,0.0062,0.0385,0.0039
16,10000,100,0.0185,0.0092,0.0333,0.0080
16,20000,100,0.0647,0.0152,0.0354,0.0115
16,100000,100,0.1604,0.0447,0.0394,0.0378
